participant,min_train_loss,min_train_mae,min_train_loss_epoch,min_train_mae_epoch,end_epoch,init_src_content_0,trained_src_content_0,init_src_content_1,trained_src_content_1,init_att_src_edge_0,trained_att_src_edge_0,init_src_edge_0,trained_src_edge_0,init_full_src_edge_0,trained_full_src_edge_0,init_dst_content_0,trained_dst_content_0,init_att_dst_edge_0,trained_att_dst_edge_0,init_dst_edge_0,trained_dst_edge_0,init_full_dst_edge_0,trained_full_dst_edge_0,init_att_edge_0,trained_att_edge_0,init_edge_0,trained_edge_0,init_full_edge_0,trained_full_edge_0,init_bias_0,trained_bias_0
1,0.00013606397,0.009796203,7125,7125,7126,-0.8576536178588867,-38.785465240478516,-1.0429787635803223,-41.02195358276367,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.5907768607139587,-0.026866285130381584,0.5907768607139587,-0.026866285130381584,,
2,0.058279555,0.19727673,9028,9032,9072,1.3661868572235107,-12.148844718933105,0.2298879623413086,-53.737850189208984,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.1884467601776123,0.0007546991109848022,-1.1884467601776123,0.0007546991109848022,,
3,0.12755872,0.299875,9074,9074,9075,0.6917590498924255,-8.724915504455566,1.190566897392273,-50.871788024902344,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.1601586937904358,0.6938133835792542,0.1601586937904358,0.6938133835792542,,
4,0.095093064,0.28395838,9999,9999,10000,0.640916645526886,-55.615638732910156,-1.1880288124084473,-21.1986141204834,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.39262855052948,-0.025222383439540863,1.39262855052948,-0.025222383439540863,,
5,0.3927596,0.579089,9999,9999,10000,-1.2157856225967407,-62.949337005615234,-0.7591636776924133,-0.7156928181648254,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.1813669204711914,-0.0036181488540023565,-1.1813669204711914,-0.0036181488540023565,,
6,0.21562581,0.4032464,9999,9999,10000,-0.262724906206131,-4.160202503204346,-1.284440517425537,-70.45470428466797,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.4274061918258667,-6.440866470336914,1.4274061918258667,-6.440866470336914,,
7,0.24579018,0.38562524,2248,2250,2251,-0.7483612895011902,0.09998039156198502,-0.08939177542924881,0.9810115098953247,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.5222806930541992,7.646743297576904,1.5222806930541992,7.646743297576904,,
8,0.2053602,0.36493447,5662,5662,5663,-0.7117810249328613,0.3255305886268616,0.5639216303825378,1.0091273784637451,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.5893445014953613,23.628509521484375,1.5893445014953613,23.628509521484375,,
9,0.22100356,0.42328206,9999,9993,10000,0.7142086625099182,-69.32701873779297,-0.18410652875900269,-4.477009296417236,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.0942484140396118,-0.027304794639348984,-1.0942484140396118,-0.027304794639348984,,
10,0.82786256,0.8093938,1299,142,1304,1.2883509397506714,0.37306150794029236,-0.9583652019500732,0.6689119935035706,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.0512560606002808,11.31676959991455,1.0512560606002808,11.31676959991455,,
11,0.4603834,0.5622895,3253,3253,3254,-0.9275985360145569,-2.345080852508545,-0.8624747395515442,0.8610836863517761,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.7049540877342224,16.559967041015625,0.7049540877342224,16.559967041015625,,
12,0.10308368,0.2745544,9999,9999,10000,-1.0553900003433228,-59.18965530395508,-1.1111522912979126,-9.946425437927246,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.7203114032745361,-0.25797006487846375,-1.7203114032745361,-0.25797006487846375,,
13,0.23321939,0.42974967,9999,9999,10000,-0.8897905945777893,-58.004695892333984,-1.0395562648773193,-3.78651762008667,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.242324709892273,-10.101862907409668,1.242324709892273,-10.101862907409668,,
14,0.0043217526,0.05648646,4364,4364,4365,0.9137657284736633,-14.020769119262695,0.23190157115459442,-20.36957359313965,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.027407076209783554,-0.07625233381986618,0.027407076209783554,-0.07625233381986618,,
15,6.628119e-06,0.0022207259,6212,6212,6213,-0.32700154185295105,-31.820039749145508,-0.42291730642318726,-32.02130126953125,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.9701734185218811,-0.017334556207060814,0.9701734185218811,-0.017334556207060814,,
16,0.0079773,0.078660175,7772,7772,7773,-0.6580967307090759,-44.42014694213867,-0.5585428476333618,-30.229646682739258,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.6007806658744812,-0.10474507510662079,0.6007806658744812,-0.10474507510662079,,
17,0.11465734,0.27611214,9999,9999,10000,-0.8333343863487244,-62.58768844604492,-1.0633071660995483,-2.47558856010437,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.7100602388381958,-45.67115783691406,1.7100602388381958,-45.67115783691406,,
18,0.22488013,0.41317958,9999,9999,10000,-0.3207407295703888,-57.1374626159668,-1.4010173082351685,-6.063889026641846,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.7151352167129517,-23.73090934753418,0.7151352167129517,-23.73090934753418,,
19,0.01762319,0.10007958,9999,9960,10000,0.41810059547424316,-47.8490104675293,-1.0626071691513062,-28.034034729003906,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.3440041542053223,-0.09919529408216476,-1.3440041542053223,-0.09919529408216476,,
20,0.03316842,0.1369302,9999,9929,10000,0.39361026883125305,-27.56477165222168,0.009941092692315578,-65.82028198242188,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.6199030876159668,-0.9214353561401367,0.6199030876159668,-0.9214353561401367,,
21,0.0198526,0.124921195,9488,9488,9489,0.06696729362010956,-50.614959716796875,-0.24101102352142334,-24.62203025817871,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.3116428852081299,-0.108088918030262,0.3116428852081299,-0.108088918030262,,
22,0.817486,0.7917783,1011,1014,1015,1.270058035850525,1.0722767114639282,-0.8099582195281982,1.2839661836624146,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.3847774267196655,8.986493110656738,1.3847774267196655,8.986493110656738,,
23,0.0029878952,0.044474274,4266,4265,4275,0.8736975789070129,-16.71634292602539,0.5661744475364685,-20.89947509765625,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.1498197317123413,5.9851685364264995e-05,-1.1498197317123413,5.9851685364264995e-05,,
24,0.41517583,0.5265241,2123,68,2124,0.6627734899520874,-0.5841562151908875,-0.09583788365125656,0.5469421148300171,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.8343368172645569,12.626192092895508,0.8343368172645569,12.626192092895508,,
25,0.018077204,0.11797472,8592,8593,8594,0.6188670992851257,-29.608722686767578,0.2907024919986725,-51.65159225463867,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.8769170045852661,-5.111907958984375,-0.8769170045852661,-5.111907958984375,,
26,0.7715015,0.8004878,2201,2203,2204,-0.08695434033870697,-0.21134084463119507,1.200264811515808,0.695488452911377,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.165049433708191,13.071331024169922,1.165049433708191,13.071331024169922,,
27,0.23453115,0.33754224,5246,126,5247,0.37047263979911804,-0.2587836682796478,-1.1072362661361694,0.5196642875671387,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.2235459089279175,31.798095703125,1.2235459089279175,31.798095703125,,
28,0.005058632,0.061293628,9803,8565,9804,0.5989832282066345,-49.71099853515625,-0.4890925884246826,-33.99458694458008,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.1430816352367401,-1.693503499031067,-0.1430816352367401,-1.693503499031067,,
29,0.044946935,0.16443129,9999,9999,10000,-1.1323826313018799,-50.3348503112793,-0.8365373611450195,-14.03859806060791,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.097501277923584,-3.3937225341796875,-1.097501277923584,-3.3937225341796875,,
30,0.0019131324,0.037369527,9334,8731,9335,-0.8562657833099365,-45.90617752075195,0.39302390813827515,-37.77482986450195,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.3916102349758148,-0.4978596270084381,-0.3916102349758148,-0.4978596270084381,,
31,0.14058952,0.35074034,6773,4105,6774,1.2065660953521729,-35.13938903808594,0.5664463639259338,-5.77011251449585,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.2594414949417114,-0.14564478397369385,0.2594414949417114,-0.14564478397369385,,
32,0.06134722,0.19423063,9999,9074,10000,0.8883564472198486,-16.475475311279297,0.5100530385971069,-67.9251708984375,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.49513715505599976,-18.00519561767578,0.49513715505599976,-18.00519561767578,,
33,0.003053643,0.042709753,7853,6711,7855,-0.06432165205478668,-39.32210922241211,-0.4077286124229431,-47.62748718261719,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.08412288129329681,0.0006951155955903232,-0.08412288129329681,0.0006951155955903232,,
34,0.002313073,0.04004777,6566,6567,6568,0.48643043637275696,-28.98104476928711,0.6642447710037231,-36.49845886230469,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.6103087067604065,0.0004744830948766321,0.6103087067604065,0.0004744830948766321,,
35,0.011827902,0.100263305,9933,9904,9934,0.42480769753456116,-60.242652893066406,-0.09273520112037659,-36.366455078125,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.19576577842235565,0.025928936898708344,0.19576577842235565,0.025928936898708344,,
36,0.004418835,0.05416868,9999,9999,10000,-1.3744091987609863,-37.06051254272461,0.5971361994743347,-47.488399505615234,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.3457005023956299,-1.7877846956253052,-1.3457005023956299,-1.7877846956253052,,
37,0.0008339033,0.02285254,8618,8378,8619,0.261403352022171,-36.740203857421875,-1.1057016849517822,-43.46540069580078,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.23508241772651672,-0.23508241772651672,-0.23508241772651672,-0.23508241772651672,,
38,0.010770142,0.09463234,9801,8321,9802,-1.322622537612915,-51.73727035522461,0.476764976978302,-33.73534393310547,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.45912763476371765,-0.15875588357448578,0.45912763476371765,-0.15875588357448578,,
39,0.019816386,0.11566239,9999,9999,10000,-0.7519884705543518,-60.7009162902832,-1.3805947303771973,-33.29151916503906,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.372880458831787,-2.6085782051086426,-1.372880458831787,-2.6085782051086426,,
40,0.031149795,0.14471361,9999,9999,10000,1.027469515800476,-57.351871490478516,-0.9835376739501953,-19.861495971679688,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.6656320691108704,-5.821319103240967,-0.6656320691108704,-5.821319103240967,,
41,0.029344877,0.1479434,8279,8279,8280,-1.3634098768234253,-10.340866088867188,-1.1690222024917603,-34.26927185058594,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.516316294670105,-0.040703579783439636,1.516316294670105,-0.040703579783439636,,
42,0.004954914,0.05722781,7347,7308,7348,-0.23830299079418182,-26.415245056152344,-0.3432936668395996,-42.38213348388672,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.8529977798461914,-1.7222667932510376,0.8529977798461914,-1.7222667932510376,,
43,0.0012389183,0.027580932,4241,4241,4242,0.9619158506393433,-20.17666244506836,0.9613121151924133,-16.34801483154297,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.476306438446045,-0.006095536518841982,1.476306438446045,-0.006095536518841982,,
44,0.19615299,0.40454784,9999,9999,10000,0.5572234988212585,-77.85081481933594,0.5662506818771362,-5.224191665649414,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.4594191312789917,0.004918207880109549,-1.4594191312789917,0.004918207880109549,,
45,0.005364351,0.06118169,7071,5072,7072,-0.2875116467475891,-44.193180084228516,0.7107074856758118,-28.382518768310547,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.6101912260055542,-0.1712205559015274,0.6101912260055542,-0.1712205559015274,,
46,0.015843615,0.1072217,8284,8284,8285,-0.21924470365047455,-49.812469482421875,0.6066398024559021,-29.384849548339844,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.179434061050415,-7.091481685638428,-1.179434061050415,-7.091481685638428,,
47,0.14872968,0.34388474,9999,8381,10000,-0.4164073169231415,-7.410331726074219,-0.3327958881855011,-59.709808349609375,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.022069038823246956,-0.03841070830821991,-0.022069038823246956,-0.03841070830821991,,
48,0.16871488,0.34834754,9999,9999,10000,-0.8360863924026489,-86.37312316894531,0.3969595730304718,-11.095193862915039,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.4105321168899536,-0.0699714943766594,-1.4105321168899536,-0.0699714943766594,,
49,0.42884594,0.5362654,1170,661,1172,0.42661696672439575,1.0626771450042725,0.269279420375824,1.6089482307434082,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.8145096898078918,7.1140594482421875,0.8145096898078918,7.1140594482421875,,
50,0.0047116275,0.053556856,8816,8816,8817,-0.5662497878074646,-30.465957641601562,-0.0713760256767273,-44.06635284423828,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.6596444249153137,0.006910934112966061,0.6596444249153137,0.006910934112966061,,
51,0.20114283,0.3754812,9999,9999,10000,-0.25363603234291077,-3.3014121055603027,-0.3508189022541046,-67.28756713867188,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.5292205810546875,-18.503185272216797,1.5292205810546875,-18.503185272216797,,
52,0.16174816,0.3481482,9999,9999,10000,-1.3004671335220337,-5.576970100402832,0.5255990028381348,-56.70562744140625,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.09497776627540588,-0.10175743699073792,0.09497776627540588,-0.10175743699073792,,
53,0.0405276,0.15046664,9999,9999,10000,0.5280246734619141,-53.98710250854492,-1.2854901552200317,-23.064697265625,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.6055556535720825,-0.2575102746486664,-1.6055556535720825,-0.2575102746486664,,
54,0.035297018,0.15763107,9999,9999,10000,0.6023678183555603,-69.38967895507812,0.6709282398223877,-29.071382522583008,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.5797481536865234,-0.014506190083920956,-0.5797481536865234,-0.014506190083920956,,
